fromCode,toCode,refugees
AFG,AFG,1478925
AFG,AZE,589
AFG,BLR,374
AFG,BRA,13
AFG,CAN,713
AFG,CHE,3628
AFG,CIV,5
AFG,DEU,46103
AFG,ECU,106
AFG,EST,14
AFG,HKG,5
AFG,HRV,123
AFG,IDN,3755
AFG,IND,10204
AFG,IRN,28269
AFG,IRQ,5
AFG,ISL,12
AFG,JOR,12
AFG,KAZ,515
AFG,KGZ,502
AFG,KOR,31
AFG,LTU,25
AFG,LVA,9
AFG,MDA,11
AFG,MKD,214
AFG,MYS,454
AFG,NRU,66
AFG,PAK,1640894
AFG,ROU,223
AFG,SRB,74
AFG,SVK,118
AFG,SVN,33
AFG,SYR,1903
AFG,TJK,48
AFG,TKM,16
AFG,TUR,7649
AFG,UZB,161
AGO,BRA,1696
AGO,BWA,443
AGO,CAN,20
AGO,CHE,1200
AGO,COD,71811
AGO,COG,820
AGO,DEU,3224
AGO,GAB,75
AGO,NGA,5
AGO,SEN,8
AGO,SWZ,7
AGO,ZMB,23535
ALB,CAN,628
ALB,CHE,63
ALB,DEU,2425
ALB,MNE,755
ARE,DEU,510
ARG,BRA,5
ARG,CAN,11
ARG,DEU,22
ARM,ARG,93
ARM,CAN,44
ARM,CHE,119
ARM,DEU,5376
ARM,MDA,21
AZE,ARM,1702
AZE,BLR,6
AZE,CAN,31
AZE,CHE,20
AZE,DEU,7912
AZE,TKM,5
BDI,ARG,5
BDI,BDI,114821
BDI,BEN,8
BDI,BFA,93
BDI,BRA,25
BDI,BWA,53
BDI,CAF,11
BDI,CAN,312
BDI,CHE,23
BDI,CIV,27
BDI,CMR,51
BDI,COD,10158
BDI,COG,51
BDI,DEU,114
BDI,EGY,26
BDI,ETH,55
BDI,GAB,12
BDI,GNB,5
BDI,KEN,4214
BDI,MLI,16
BDI,MOZ,2988
BDI,MRT,5
BDI,MWI,3712
BDI,NAM,282
BDI,RWA,330
BDI,SEN,53
BDI,SWZ,126
BDI,TGO,5
BDI,TZA,197613
BDI,UGA,12465
BDI,ZMB,2005
BDI,ZWE,515
BEN,CAN,11
BEN,CHE,24
BEN,DEU,311
BEN,DZA,15
BEN,MAR,7
BFA,BRA,8
BFA,CAN,16
BFA,CHE,10
BFA,CMR,8
BFA,DEU,320
BFA,MAR,6
BGD,ARG,34
BGD,BRA,125
BGD,CAN,254
BGD,CHE,74
BGD,DEU,1242
BGD,ECU,8
BGD,HKG,22
BGD,HRV,8
BGD,IDN,36
BGD,KOR,96
BGD,MNE,5
BGD,MYS,5
BGD,PAN,15
BGD,PER,12
BGD,ROU,46
BGD,SRB,17
BGD,TUR,5
BGD,UGA,7
BGR,CAN,63
BGR,CRI,5
BGR,DEU,196
BHR,DEU,37
BHS,CAN,23
BIH,CAN,49
BIH,CHE,875
BIH,DEU,25131
BIH,HRV,400
BIH,JOR,5
BIH,MKD,7
BIH,MNE,2000
BIH,PER,5
BIH,SRB,16414
BIH,SVN,7
BLR,CAN,26
BLR,CHE,71
BLR,DEU,2082
BLR,LVA,5
BOL,BRA,108
BOL,CAN,13
BOL,CHE,6
BOL,DEU,18
BOL,PER,6
BOL,PRY,6
BRA,CAN,60
BRA,DEU,160
BRB,CAN,66
BWA,CAN,156
CAF,BFA,27
CAF,CAN,5
CAF,CMR,93536
CAF,COD,1678
CAF,COG,215
CAF,DEU,6
CAF,GAB,45
CAF,GHA,9
CAF,NGA,5
CAF,SDN,24
CAF,SEN,20
CAF,SSD,1531
CAF,TCD,58379
CAF,TGO,17
CAN,DEU,46
CHL,BOL,6
CHL,BRA,21
CHL,CAN,26
CHL,DEU,388
CHN,CAN,3791
CHN,CHE,1254
CHN,DEU,4339
CHN,ECU,5
CHN,IDN,29
CHN,KAZ,7
CHN,KOR,5
CHN,MYS,63
CHN,ROU,43
CHN,THA,149
CHN,TUR,26
CIV,ARG,34
CIV,ARM,6
CIV,BEN,282
CIV,BFA,230
CIV,BRA,32
CIV,CAF,7
CIV,CAN,112
CIV,CHE,216
CIV,CIV,141289
CIV,CMR,304
CIV,COG,79
CIV,DEU,669
CIV,DZA,291
CIV,EGY,383
CIV,GAB,17
CIV,GHA,8676
CIV,GIN,6679
CIV,GMB,299
